baseball	hit	<x>Baseball</x> on Wikinews The Chicago White Sox scored a narrow 5–4 victory Monday against the Detroit Tigers after White Sox player A.J. Pierzynski scored a go-ahead run in extra innings.	Finally, after a seven week run at the top of the album chart, the compilation, which contains a selection of Michael Jackson's <y>hits</y>, finally fell five places to number 6.	independent	1.0
fence	wall	Unable to takeoff, it overshot the runway, crashing through airport equipment and a <x>fence</x>, before landing in a watery ravine and bursting into flames.	The plan also limits cash bonuses and incentive compensations for <y>Wall</y> Street executives.	independent	1.0
building	palace	Hopper was unable to <x>build</x> on this success for several years, until a featured role in 'Apocalypse Now' (1979) brought him attention.	Also, we are planning to play some solo concerts in the <y>Palace</y> 'Ukraine' in Kiev.	independent	1.0
sand	shore	Fields and <x>sand</x>-dunes make up the landscape of the coastal site.	Vestas attribute the shutdown of the plant to insufficient demand in the United Kingdom due to difficulties in obtaining planning permission for on-<y>shore</y> wind farms, and closed the plant in part of a 1,900-job closure affecting facilities both in Britain and in the company's home country of Denmark.	other-related	0.8
photo	picture	Flickr allows users to upload pictures from their computers, digital cameras, or camera phones to a personal website where they can display them, engage in <x>photo</x> blogging and create <x>photo</x> albums.	<y>Pictures</y> of the January 10 Saskatchewan storm are online which were taken by CP Press photographer Geoff Howe.	equivalence	0.6
body	person	The idea behind the experiment is that scientists say that the results now make it possible to bring back prehistoric animals or extinct animals such as the woolly mammoth, but because any fully intact <x>body</x> found would have been frozen for over 10,000 years and would likely be too damaged organisms and bacterias.	Some witnesses claimed that they saw a <y>person</y> along with a woman and two kids escaping on a motorbike after the incident.	equivalence	0.4
stick	tree	George Osborne, the Chancellor of the Exchequer, said that the move to lower the credit rating was a 'stark reminder' of the debt problems that the country is facing and that the government is planning to <x>stick</x> to it's original deficit reduction plan.	She said that when two of the others went to look for their colleague where he was thought to be, they “had to retreat due to further volcanic activity and the track being impassable with fallen <y>trees</y> and ash.	independent	1.0
baby	child	Lord Uist said staff at Woodside Medical Group might have been able to prevent the death but failed to realise the <x>baby</x> was being hurt deliberately.	The hospital had blocked the media from the <y>child</y>, despite mother's invitation to see the baby.	forward_entailment	1.0
field	yard	During the photographer's workshop, the possibilities for photo documentary and photo-based interviews vs. simple photo reporting were illustrated as an alternative to bringing 'just a bunch of pictures from another street protest.' As a central player in the <x>field</x> of alternative media in Belgium, Indymedia also wants to stir the debate about participatory journalism.	Scotland <y>Yard</y> have announced that a number of arrests have been made, and that three of the suspected July 21 bombers are now in custody.	independent	1.0
swimming	water	About 900 triathletes entered the event, which includes a 1.5 km <x>swim</x> at Ala Moana Beach Park just west of Waikiki, a 40 km out-and-back bicycle leg along Nimitz Highway to Aloha Stadium, and a 10 km run around Ala Moana Beach Park and Kewalo Basin.	Instead, the word '<y>water</y>-resistant' must be used, and the label must specify how long the product lasts in <y>water</y>.	other-related	0.8
bull	dog	Heikki Kovalainen driving for Renault successfully ended with his 5th place right ahead of Jarno Trulli's Toyota and Mark Webber's Red <x>Bull</x>-Renault.	After retiring from LANL Rogers continued to work on the Shroud project, and with his wife Joan he also found time to enjoy hiking in the great outdoors as well as to train <y>dogs</y> for search and rescue operations.	alternation	0.4
cross	walk	The 16,000 kilometre journey from the coast of Peru to the seaside city of Brisbane, Australia, the widest section of the Pacific, has never been <x>crossed</x> absolutely unaided by a rower, and Tuijn says just nine people have rowed it even with assistance.	Some witnesses refute this statement saying that Tabatabainejad had been <y>walking</y> toward the door of the library when police grabbed him.	independent	0.8
earth	sun	Because they play such a major role in the biochemical processes in the subsurface, clearly they are driving lots of reactions that produce the chemical steady state on <x>Earth</x>,' said Dr John Parkes, one of the original co-authors of the paper which appeared in Nature magazine, 'possibly we might not have oil and gas formations without them.	He had previously stated that the lights may have been an illusion caused by two commercial planes and the setting <y>sun</y>.	alternation	0.6
fence	wall	Suddenly the <x>fence</x> went DOWN!!!	Mohammed admitted to decapitating Daniel Pearl, a reporter for the '<y>Wall</y> Street Journal' in the city of Karachi, Pakistan in 2002.	independent	0.8
fish	sea	The trawler was transporting <x>fishing</x> goods from Yemen to Oman when it was hijacked off Somalia's coast.	It is not known if man-made causes, such as over-fishing or climate change, have lowered the amount of food available to puffins, causing them to starve while at <y>sea</y>.	other-related	0.8
lady	woman	Turner was First <x>Lady</x> Michelle Obama's guest during her husband's speech to a joint session of Congress on health care reform back in September.	The Manhattan courtroom erupted into applause after Judge Ross said that the prosecution 'failed to prove each defendant guilty of each charge.' The defense lawyer Norman Siegel said that the <y>women</y> were pleased by the verdict and was quoted saying that, 'They are great Americans, and they walk the shoes of great Americans who have made America the place that it is,' If any of the defendants were convicted, they each could have faced up to 15 days in prison.	equivalence	0.6
clothing	vest	He retired from his job there and ultimately left the fashion industry in 2002, but not before starting his own <x>clothing</x> line and shop with Pierre Berge in 1962.	The terrorists attacked the five-star Serena hotel with AK-47 assault rifles, suicide <y>vests</y>, and grenades.	reverse_entailment	0.8
cross	walk	Questioned regarding if the delivery of the weapons translates as a surrendering of the military rebels, Mick Slater rejected that classification, pointing out that 'East Timor is not <x>crossing</x> a civil war'.	Prime Minister Helen Clark released the news shortly before 11 a.m. (NZST) as she <y>walked</y> into a caucus meeting.	independent	0.8
clothing	fashion	Eighteen viewers complained because she was not wearing reflective <x>clothing</x> and her bicycle had no lights.	He also had two children with Bernadine Coverly (Bella Freud, the <y>fashion</y> designer, and the writer Esther Freud), five children with Suzy Boyt, and four children with Katherine Margaret McAdam (Paul Freud, an artist, Lucy Freud, David Freud and Jane McAdam Freud, also an artist).	forward_entailment	0.4
ice	surface	Phoenix will remain on the surface of Mars for about 92 Earth days examining the water <x>ice</x> expected to lie a few inches beneath the rocky surface.	However a look below the <y>surface</y> would show these issues to be more complex than appearances would suggest.	independent	0.6
backyard	yard	While demolition was taking place, the section collapsed into Murray's <x>backyard</x>, prompting a call to police.	A lone protester from Develop Don't Destroy, the group against the development of Brooklyn's Atlantic <y>Yards</y>, held up a sign decrying Markowitz's support for the project.	independent	0.8
earth	sun	Astronomers say 581 e is 20.5 light years away from <x>Earth</x> and that it's roughly 1.9 times larger than <x>Earth</x>, making it the smallest exoplanet discovered to date.	Signifying the end of the winter and the start of spring, the Chinese New Year takes place on a different day at the beginning of the year, based on the moon's position relative to the <y>sun</y>.	alternation	0.4
father	kid	He did mention that the only purchase of medical supplies that can be attributed to him were medications for his <x>father</x>, who died of a heart ailment in January.	Paul also claimed that the system for bringing criminals to justice was 'biased' towards the accused, commenting on how Fiona had been handled 'with <y>kid</y> gloves'.	independent	0.6
baseball	hit	About 100 passers-by gathered to watch Robert, dressed in red trousers, a grey top, and a <x>baseball</x> cap, climb the building.	Police allege he drove a vehicle in the Southbank yard and <y>hit</y> another tram, on April 10, causing $2000 damage.	independent	0.6
audience	person	Folds told the <x>audience</x> that he had been nervous as this was his first solo performance in 'a while.'	According to the National Weather Service statistics lightning has claimed the lives of 90 <y>persons</y> in Indiana since 1959.	forward_entailment	0.6
beach	shore	The Agustín Ross Mirador, a famous location in front of the <x>beach</x>, located less than 200 meters from the Fisherman Creek, was completely destroyed.	He said the Burmese men should be afforded the same rights as the West Papuans or Vietnamese asylum-seekers who recently made it to Australian <y>shores</y>.	equivalence	0.6
play	rest	The production value is currently increasing world-wide, with the help of semiconductor industry, the photovoltaic industry will <x>play</x> a suitable role at energy and environment industry in Taiwan.	For the past 20 years, the rhino has not been reported anywhere else in Sabah and researchers say that it is likely 'extinct' in the <y>rest</y> of Malaysia.	independent	1.0
clothing	fashion	The attacker had apparently hoped to enter the airbase, but detonated his explosives while at the checkpoint when officers suggested they wanted to search his <x>clothing</x>.	On February 2, his book lost its sales rank, in the same <y>fashion</y> as the other LGBT-themed works this month.	other-related	0.4
people	police	Another estimated 5.000 <x>people</x> took to the streets in Thessaloniki.	Scattered clashes in the southern provinces in the past four days have killed around 150 people, including Taliban, Afghan <y>police</y> and military personnel and civilians.	reverse_entailment	1.0
ocean	surf	At the time of launch, the International Space Station was flying over the Atlantic <x>Ocean</x>, South-East of Canada.	Authorities advised residents to stay away from flood-waters and from areas exposed to <y>surf</y>, where heavy <y>surf</y> can lead to coastal damage and erosion.	other-related	0.8
chicken	meat	The Customs & Excise Department has stepped up patrols to prevent the inflow of smuggled <x>chickens</x>.	After an average of five years, people who had eaten more than two portions of red and processed <y>meats</y> a day (160g) were 35% more likely to develop bowel cancer than those who only ate one portion a week.	forward_entailment	0.8
photo	picture	They have also measured and taken <x>photos</x> of the graffiti, which was applied to every wall of the structure.	This video was added on November 7, 2007, and is a series of images with Atatürk's face on monkeys, homosexuals, obese individuals and several <y>pictures</y> of Borat.	equivalence	0.8
boy	horse	Thursday will begin day five of jury deliberations in the trial which the pop star is accused of sexually molesting a thirteen-year-old <x>boy</x> back in 2003.	In September of 2005 it was reported that this dog flu strain had crossed over from <y>horses</y> to dogs.	alternation	0.6
play	practice	WN You began <x>playing</x> basketball in 1991.	A number of high profile rape cases, including that of Mukhtar Mai, have focused international attention on some of the <y>practices</y> that are commonplace in tribal parts of the country.	independent	1.0
background	light	Case <x>background</x>.	In <y>light</y> of the apparent success of your project what would you say to other academics to try and persuade them to try similar experiments?	independent	1.0
dirt	grass	Sandstorms buried some sections of the wall, and these hills of <x>dirt</x> and sand may erode completely in 20 years.	The aircraft suffered substantial damage as it slid across the <y>grass</y> to the runway threshold, where it came to rest, and was written off.	other-related	0.4
beach	sun	Mr Schreiber said the heavily-circulated messages ensured troublemakers went to the southern Sydney <x>beach</x> looking for a fight.	A nurse at the hospital told 'The Baltimore <y>Sun</y>' that the shooter was dissatisfied with how his mother had been treated and even said that he was going to jump out of a window.	independent	1.0
pond	river	The <x>pond</x> is near to the location of his house where he was playing with one of his friends.	Local coal company Harum Energy lost five percent of its share value today amid fears the <y>river</y> blockage will hamper their ability to ship coal.	alternation	0.6
hands	person	In a statement he welcomed the bid, saying 'I look forward to receiving President Boris Tadic in Stockholm on Tuesday, December 22, when he officially <x>hands</x> over the application.' Along with Montenegro and Macedonia, visa-free entry to the 27-country bloc came into affect for Serbia's citizens on Saturday, and a free trade agreement, frozen in April, was also reinstated this month, after the United Nations chief prosecutor accepted that the country was making serious attempts to arrest the two remaining people indicted for war crimes by The Hague's International Criminal Tribunal for the former Yugoslavia (ICTY).	Swiss courts calculate their fines on the principle that they are proportionate to the <y>person</y>'s wealth.	independent	1.0
beach	lake	Wikinews is interviewing some of these citizens who are looking to become the 43rd person elected to serve their nation from 1600 Pennsylvania Avenue NW. First off is Long <x>Beach</x>, California's Frank McEnulty (b. 1956), a married father of two with an MBA (Venture Management) and BS (Accounting/Finance).	The Redds spent the night in Colorado before going to Provo the day the couple were supposed to be married at The Church of Jesus Christ of Latter-day Saints Temple in Salt <y>Lake</y> City, Utah.	independent	0.6
competition	race	Olatx Alvariño won the women's <x>competition</x> in 13:28:45, well ahead of Sandra Castellanas at 14:51:17, and Eva Belles at 15:41:27.	In the <y>race</y> for the U.S. Senate in Massachusetts, Elizabeth Warren, who helped set up the Consumer Financial Protection Bureau, defeated incumbent Republican Scott Brown.	equivalence	0.6
piece	sheet	18 of the <x>pieces</x> have now gone on display in the museum in London, England, and can be seen by members of the public.	Further claiming that none of the board members had any knowledge of the dire company situation, he noted that Satyam's balance <y>sheet</y> as of the September 30, 2008, carried inflated figures for cash and bank balances of INR 5,040 crore (as against INR 5,361 crore reflected in the books).	independent	1.0
stick	tree	DS: Is there one moment that <x>sticks</x> out in your mind?	Prodi's fate was sealed when the UEDUR Populars, a smaller component of Prodi's ruling Olive <y>Tree</y> coalition, broke ranks and voted against him.	independent	1.0
lady	woman	After Jay-Z and Alicia Keys performed their song 'Empire State of Mind', Cheryl Cole performed her track, 'Fight For This Love', although the performance featured excerpts from 'Show Me Love', a track that was originally recorded by Robin S. <x>Lady</x> Gaga won all three awards that she was nominated for, including 'International female solo artist', 'International breakthrough act' and 'International album', the latter being for 'The Fame'.	The students, seven men and three <y>women</y>, took control of the building of the school early yesterday morning in response to the long delay in re-construction of the 'liceo', following the earthquake of 2010.	equivalence	0.4
swim	water	On April 22, 2007, a 40-year-old woman from Milan <x>swam</x> naked in the fountain, getting her picture into international newspapers.	The area of Yucatán which the asteroid struck had also been rich in sulfur, which was blasted out of the earth and into the sky, where it would have mixed with <y>water</y> vapors, creating clouds that rained sulfuric acid, and which would block out the sun for approximately a decade.	other-related	0.8
food	pan	The users can manually enter additional data such as <x>food</x> quantities, weight, custom notes, and photos.	Hsieh, former Premier of the ROC, was the candidate for the <y>Pan</y>-Green Coalition.	independent	1.0
body	child	I found one or two whole <x>bodies</x> at the start, but since then everything is in pieces.	Leaflets distributed earlier in the week by Sudanese Muslim groups had condemned Gibbons as an 'infidel' and accused her of 'the pollution of <y>children</y>'s mentality'.	reverse_entailment	0.4
piece	strip	Roughly 1,500 gold and silver <x>pieces</x> were found and the hoard contains roughly 5kgs of gold and 2.5kgs of silver — far more than the previous record of 2.5kgs of gold which was found at Sutton Hoo, near Woodbridge.	A huge political storm has erupted around Australia after labor leader Kevin Rudd was found to have gone to a <y>strip</y> club during a taxpayer funded trip.	independent	1.0
game	play	The New England Patriots are only two <x>games</x> away from becoming the second team after the 1972 Miami Dolphins to have a perfect record and win the Super Bowl.	According to Christopher Howes, his son, one of his first jobs at Kenner was to remove potentially poisonous chemicals from the toy <y>Play</y>-Doh.	independent	1.0
fire	weapon	Security forces allegedly opened <x>fire</x> at 2:15 a.m., also using tear gas to subdue the crowd.	Traffic flows in the street, passers-by freely walk in front of the station entrance, no display of heavy <y>weapons</y>.	other-related	1.0
accident	fire	Later in the day, a witness alerted the police about two 'suspicious persons' near the scene of the <x>accident</x>.	According to IDG News Service, Myers said: 'This was not my intent to get somebody <y>fired</y>.'	independent	1.0
play	sport	For the Australians, it was a rare opportunity to <x>play</x> teams from neighboring countries.	Other <y>sports</y> stories Gilbert Arenas, a star player in the American National Basketball Association's Washington Wizards, now faces up to six months in prison after pleading guilty to felony gun possession charges today in a Washington, D.C. court.	other-related	0.6
conversation	talk	The prosecution disputed this assessment of their <x>conversation</x>.	Cortez as telling him that the teenage girl was crying and <y>talking</y> in Arabic and that Spc.	forward_entailment	0.6
cloth	jacket	On Saturday he will represent Queen Elizabeth II at a ceremony at the Te Papiouru Marae in Rotorua to commemorate the bravery of Lance Sergeant Haane Manahi, where he will present Lance Sergeant Manahi's grand niece Donna Maria Grant and his iwi, Te Arawa; a sword from the collection of George VI, a letter from the Queen, New Zealand's Head of State, and an altar <x>cloth</x>.	Officials accompanied the asylum seekers on toilet breaks and trips to the Weipa hospital, covering the heads of the new arrivals with blankets or <y>jackets</y>.	reverse_entailment	0.6
bottom	top	Please comment on if you find any issues with this article, and please clearly denote any updates you make at the <x>bottom</x>.	She was the <y>top</y> candidate in the 1940 London Chamber of Commerce Shorthand and Typewriting exams.	alternation	1.0
airplane	air	A military <x>airplane</x> monitored the heat with an infrared camera.	This would have resulted in a fuel-<y>air</y> explosion.	independent	0.6
bed	couch	The new hospital will have 149 <x>beds</x>, up from 85 for the current hospital.	I saw how Tom Cruise (supposedly the BEST Scientology disseminator in the world) was losing it on Oprah Winfrey's <y>couch</y> and with Mat Lauer.	independent	0.6
body	person	Dickson noted that in each case there was lack of action on a 'growing <x>body</x> of evidence that there was something fundamentally wrong with the patient' and surgeons failed to contemplate their own actions as potentially responsible.	A Federal Aviation Administration spokes<y>person</y> has said that one <y>person</y> was on board the 8 passenger plane.	independent	0.6
gear	outfit	Pending completion of landing <x>gear</x> inspections by SAS, Norwegian, Swedish and Danish authorities will make a decision regarding whether the air carrier's Q400 fleet should remain grounded, or be permitted to resume operations.	No terrorist <y>outfit</y> has yet claimed responsibility for this attack, which is the fourth incident this week.	independent	1.0
photograph	photo	A woman in Spain has been fined €800 after posting a <x>photograph</x> to her Facebook account of a police vehicle parked in space reserved for disabled/handicapped drivers.	They have also measured and taken <y>photos</y> of the graffiti, which was applied to every wall of the structure.	equivalence	1.0
forest	woods	The aircraft had not long departed Wilson Airport when it went down into a Kibuku District <x>forest</x>.	One of the aircraft, a Cessna 402 carrying four people, crashed near Brandon <y>Woods</y> whilst the other, a smaller single engine aircraft with only the pilot on board crashed a mile away near to Coombe Abbey, Brinklow.	independent	0.6
eat	food	Don't let the remorse <x>eat</x> you alive.	However, the use of palm oil is controversial, as some environmental scientists and campaigners believe using it will have a negative effect as increased demand in turn causes higher <y>food</y> prices and greater levels of deforestation.	independent	0.6
traffic	vehicle	Paul Kelly, 31, who was the Jersey Airport air <x>traffic</x> controller on duty during the incident, said that the airport received simultaneous reports from the Aurigny and Blue Island pilot and that the Blue Island pilot had reported a UFO approximately 1,500ft underneath his plane.	Police cordoned off the area and about a dozen emergency <y>vehicles</y> responded to the incident.	other-related	0.6
cliff	sea	Howard Williams, who was on holiday from the United Kingdom in the area, told Sky News Online that 'police were aware the <x>cliff</x> was dangerous for days, but the only thing they put in place was a bit of builder's tape.'	It was going to cover topics including the recent divorce of actress Katie Holmes from Tom Cruise, the role of minors within the Scientology organization, material on Scientology's chief David Miscavige, and controversy regarding the elite Scientology group known as the <y>Sea</y> Org.	independent	1.0
clothing	uniform	In March of 2007, Gruber stole <x>clothing</x> from a mall and was charged with larceny and endangering the welfare of a child.	Another rule in dispute is the employee's <y>uniform</y>: 'Sikh workers, whose religion requires they wear a turban, must wear one made of TA-issued fabric with the TA logo front and center.'	reverse_entailment	1.0
obstacle	railing	Turkey wants to join the European Union but the negotiations have not been without <x>obstacles</x> so far, for example in the field of freedom of expression.	It was attached to an out-of-service passenger train to be dragged northwards when, for reasons which are being investigated by the <y>Rail</y> Accident Investigation Branch, it broke free near Archway station at 6.44 a.m. and started rolling southwards.	independent	1.0
air	flight	Most of the candidates are raising funds for TV advertising this weekend, including Senator McCain whose ads will <x>air</x> in 20 states this weekend.	He is wanted in Yemen for his alleged participation in the of a <y>flight</y>.	independent	1.0
clothing	uniform	A student carrying a long bag and wearing military <x>clothing</x> prompted a massive police response at Montreal, Canada's Concordia University on Tuesday.	Although today the majority of Sea Organization members are based on land, in keeping with the tradition of the order’s inception, they still wear maritime-style <y>uniforms</y> and have ranks and ratings.	reverse_entailment	0.8
shore	beach	North <x>Shore</x>'s president, Wayne M. Burton, hosted the event.	The naked ramblers have hoped it doesn't lead to another naturist-clothed 'war', like the one at a <y>beach</y> between German and Polish holidaymakers in 2008.	independent	0.8
photo	picture	<x>Photos</x> of the scene show scattered wreckage, some of it aflame.	For example, in June of 2007, Microsoft UK found its webpage changed to a <y>picture</y> of the Saudi Arabia flag, an attack which was carried out using an SQL injection.	equivalence	0.8
interior	middle	The <x>Interior</x> Ministry made the announcement via official news agency 'Petra'.	Australia had mixed rankings for literacy and numeracy amongst adults, finishing amongst the top for literacy and in the <y>middle</y> for numeracy.	independent	1.0
edge	mountain	On June 18, the attraction was closed when a man threatened to throw himself off the <x>edge</x> of the tower.	A reporter at the scene said one car near the top of the <y>mountain</y> had slid down a cable, hitting another and then one of the cars fell to the ground.	independent	0.8
market	oil	It uses a range of managed funds, which invests the money in the charity's name - including on the stock <x>market</x> - in order to maximise return.	China's Sinopec Group, an <y>oil</y> giant, bought up Addax Petroleum Corporation from its Swiss owners that year, gaining control of oilfields in Nigeria, Cameroon and Gabon.	independent	0.8
earth	rock	The astronomers studied the lights of particles they saw while looking through the clouds of a young star in the constellation Perseus, about 750 light years from <x>earth</x>.	Some are threatening to storm the mine while soldiers are trying to keep them calm and rescuers continue to pick through the <y>rock</y> and debris with hand tools, fearing that any power equipment might set off another explosion.	other-related	0.4
building	space	The structures appear to belong to a port city <x>built</x> in the 7th century, said T. Satyamurthy, a senior archaeologist with the Archaeological Survey of India.	SpaceX is a contender for future commercial contracts from various government run <y>space</y> agencies, with NASA expressing particular interest.	independent	1.0
computer	operate	The company, which makes processors for around 80 percent of the world's personal <x>computers</x>, is thought to have benefited from an increase in demand for electronics as the world economy moves out of recession. “	MacAskill confirmed 'the Scottish Government is content with the way the courts are <y>operating</y> the rules on contempt of court in Scotland at the moment and has no plans to make changes.'	independent	0.8
garage	park	However, they were probably still covered with hairspray, which set alight the floor of the <x>garage</x>.	Financial Title Company, the trustee of his Santa Barbara County, California, home and amusement <y>park</y>, has foreclosed on the property.	independent	1.0
horse	vehicle	But obviously it is a bit confronting and not everyone's cup of tea but if they could just see it before they get on their high <x>horse</x> they might have a different point of view.	The designer thinks that motorists will some day be travelling in <y>vehicles</y> like this.	independent	0.6
fence	wall	One person has been arrested after the Secret Service says he made a 'verbal threat against the President' of the U.S. George W. Bush through the <x>fence</x> near the West Wing.	After barricading the office which has served as a living quarters for 19 nights against police entry, three of the workers, Justin Moody, Mark Smith, and Dave Arbuthnott, exited via a fire escape escorted by security staff; two, Ian Terry and Mark Flower, abseiled down the factory's <y>wall</y>; and Jaymie Rigby jumped thirty feet from a balcony to the bushes below.	forward_entailment	0.8
ground	sand	The performances scheduled include flybys of an F-117 Nighthawk stealth fighter, B1-B Lancer bomber, and A-10 Warthog tank-killer, several aerobatics performances, and <x>ground</x>-based demonstrations of various aircraft.	The ROV monitors the leak for a minute and even gets covered in a plume of oil and <y>sand</y> before it moved on to the next spot.	reverse_entailment	0.6
fish	sea	Defenders of Wildlife filed a suit after March 18, 2003, when the <x>Fish</x> and Wildlife Service decided to downlist the wolf from 'endangered' status to 'threatened' status.	The official launch of the national jersey for the <y>SEA</y> Games was also called off, which was scheduled to be officiated by the deputy premier.	independent	1.0
cliff	rock	At the time of the crash the ship had been a few kilometers away from the dock under the spectacular <x>cliffs</x> that make Santorini one of Greece's top tourist destinations.	Jose Ishitsuka, of Peru's Geophysics Institute, found a three-inch magnetic fragment that contained iron, which is common in all <y>rocks</y> from space.	other-related	0.6
gear	outfit	The 44-year-old British immigrant living in Perth, Australia, put all of his worldly belongings up for sale on the popular auction website, including his three-bedroom house and all its contents, his car, motorcycle, jetski, skydiving <x>gear</x>, and his job at a rug store, for which he offered a two week trial period.	No terrorist <y>outfits</y> have claimed responsibility yet.	independent	0.6
traffic	vehicle	A dump truck was also stopped astride the road and roadblocks set up to prevent the passage of <x>traffic</x>.	The fully-stacked Shuttle and Mobile Launch Platform rolled out of the Kennedy Space Center's <y>Vehicle</y> Assembly Building at 04:26 GMT, and is made its way down the Crawlerway, arriving at Launch Complex 39A at about 09:45 GMT, and had been secured in place by 11:22.	other-related	0.8
sand	shore	Her brother's health problems include scoliosis, an enlarged prostate, mental illness, <x>sand</x> in his kidneys and the need of a catheter to urinate.	However, one pirate boat carrying eight pirates and some of the money capsized on its way to <y>shore</y> due to rough weather, and five of the occupants drowned.	other-related	0.6
car	window	Last month, <x>cars</x> with loudspeakers drove around the area, broadcasting the researcher's warning that a quake would soon strike.	The journalists moved to the inside of the hotel to avoid being struck by stray bullets flying through glass <y>windows</y>.	independent	0.6
coat	jacket	Eventually they are <x>coated</x> with volatile gas frost and fall to the surface, contributing to its red color.	He was bald and wore a brown leather <y>jacket</y>.	independent	0.6
baby	mother	Terry adds, 'I used to be an accomplished musician.' His songs 'I'm Cryin for you <x>Baby</x>', 'I Do', 'Te Deum', 'United We Stand', and 'Let Those Cookies Burn' can be heard on his website.	In the past three years, 19 <y>mothers</y> living in an apartment building a block away from Franklin were also diagnosed with leukemia.	independent	0.8
swim	water	The Olympic gold medalist was due to <x>swim</x> in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.	Boats could be seen sinking into the <y>water</y> for several days after the storm, with people unable to rescue them due to the conditions.	other-related	0.8
marriage	wedding	He had been survived by his wife Lady Elsie since their <x>marriage</x> in June 1955, and also survived by his three children Paul, Andrew and Mark.	Warren Jeffs was convicted in September 2007 of two counts of being an accomplice to rape related to a 2001 <y>wedding</y> he arranged between a 14-year old girl and her 19-year old cousin.	equivalence	0.6
car	driver	Nick Heidfeld on his KERS-equipped BMW Sauber <x>car</x> placed second from 11th place on the starting grid.	Formula One <y>driver</y> Jenson Button was runner-up, and heptathlon champion Jessica Ennis came in third.	other-related	1.0
ice	surface	Terry's father Tan said of his only child, the injuries were terrible, 'I was scared to look at him, a horrible thing.' The hands and foot were placed in an <x>ice</x>-filled Esky and rushed to hospital with the boy, where three teams of medical experts were assembled, and he was given a blood transfusion after experiencing massive blood loss.	The procedure began yesterday afternoon, after diagnostics on the damaged equipment on the ocean's <y>surface</y> indicated that it could withstand the added pressure of the mud being pumped into the well.	independent	0.6
boat	ship	Abdulla Rasheed, a captain of a cargo <x>boat</x> which recently capsized in the waters off the Maldives, stated, 'From the pictures of the debris found on most of the islands, I can almost certainly say that they are from the cargo we were carrying'.	<y>Shipping</y> companies are reporting that at least 200-500 tons of cargo will not be able to be shipped in the lakes if the levels continue to drop.	independent	0.6
front	hand	The Independent newspaper covered the story with a <x>front</x> page splash titled 'Blueprint to give power to the people'.	Fumo also ordered state employees to do political tasks and personal errands, and destroyed e-mail evidence, according to the convictions <y>handed</y> down by a U.S. District Court jury Monday.	independent	1.0
