INPUT:hyponym	INPUT:hypernym	INPUT:genitive	OUTPUT:judgement	CONFIDENCE:judgement
врач	стимуляцию, –	стимуляцию, –	False	99.97%
врач	фельдшер	фельдшера	False	98.53%
время	арлесхайма	арлесхайма	False	99.99%
время	атмосфера	атмосферы	False	99.99%
время	воеходит	воеходящего	False	99.82%
время	диссимметрия —	диссимметрия —	False	99.99%
время	длительность	длительности	True	99.99%
время	искусного_мага	искусного_мага	False	99.53%
время	качество	качества	False	99.49%
время	климат	климата	False	99.99%
время	кремации[	кремации[	False	99.99%
время	мелочи	мелочей	False	99.97%
время	мелочь	мелочи	False	99.99%
время	мера	меры	True	99.45%
время	момент	момента	False	78.15%
время	обраща­ют	обраща­юта	False	99.95%
время	обстоятельства_совершения_преступления	обстоятельств_совершений_преступлений	True	99.99%
время	обстоятельство	обстоятельства	True	99.99%
время	отрезок	отрезка	True	98.93%
время	период	периода	True	50.50%
время	пора	поры	False	67.60%
время	признак	признака	True	75.56%
время	промежуток	промежутка	True	50.50%
время	расы_были	рас_былей	False	99.99%
время	роскоши	роскошей	False	99.93%
время	роскошь	роскоши	False	99.97%
время	свойство	свойства	False	87.79%
время	существования_материи	существований_материй	False	99.69%
время	условие	условия	False	86.37%
время	финитное	финитноя	False	99.97%
время	характеристика	характеристики	True	72.39%
время	часы	часов	True	85.26%
встреча	высоорганизованных	высоорганизованных	False	99.98%
встреча	выступление	выступления	False	83.05%
встреча	движение	движения	True	99.29%
встреча	действие	действия	True	99.99%
встреча	диалог	диалога	False	99.80%
встреча	дисциплина	дисциплины	False	99.99%
встреча	изменение	изменения	False	99.96%
встреча	испытание	испытания	False	99.87%
встреча	конкуренция	конкуренции	False	99.99%
встреча	конкурировать	конкурирующего	False	99.99%
встреча	мероприятий, мероприятия	мероприятий	True	99.99%
встреча	на_подходе	на_подхода	False	99.44%
встреча	наука	науки	False	99.87%
встреча	общение	общения	True	99.52%
встреча	официальных_мероприятиях	официальных_мероприятий	True	99.99%
встреча	подобных_мероприятиях	подобных_мероприятий	True	99.93%
встреча	празднество	празднества	True	97.75%
встреча	праздник	праздника	True	99.91%
встреча	празднование	празднования	True	99.99%
встреча	предмет	предмета	False	99.97%
встреча	приближение	приближения	True	74.84%
встреча	прием	приёма	True	93.45%
встреча	происшествие	происшествия	True	99.60%
встреча	развлечение	развлечения	True	93.99%
встреча	разговор	разговора	False	62.89%
встреча	собрание	собрания	True	99.99%
встреча	событие	события	True	99.99%
встреча	совещание	совещания	True	99.99%
встреча	соперничать	соперничающего	False	99.99%
встреча	соревнование,_состязание	соревнования,_состязания	True	98.72%
встреча	состязание	состязания	False	78.29%
встреча	столкновение	столкновения	False	93.08%
встреча	элементов_outlook	элементов_outlook	False	99.99%
встреча	ятрогения	ятрогения	False	72.59%
газета	издание	издания	True	99.99%
газета	материал	материала	True	95.80%
газета	периодическая_печатная_продукция	периодической_печатной_продукции	True	99.99%
газета	предприятие	предприятия	False	99.99%
газета	произведение	произведения	False	71.61%
газета	сми	сми	True	99.99%
газета	сочинение	сочинения	False	95.29%
газета	средство_массовой_информации	средства_массовой_информаций	True	99.99%
герой	божествами_о_гневе_небес	божеств_о_гнева_небес	False	99.82%
герой	воин	воина	True	87.34%
герой	выражение	выражения	False	99.95%
герой	имя	имени	False	99.99%
герой	культурных_растений	культурных_растений	False	99.99%
герой	лицо	лица	False	86.65%
герой	личность	личности	True	99.99%
герой	людей, люди	людей	True	99.99%
герой	мелочью	мелочи	False	99.95%
герой	мужчина	мужчины	True	99.99%
герой	образ	образа	True	99.99%
герой	образец	образца	True	84.61%
герой	особа	особы	True	98.11%
герой	персонаж	персонажа	True	99.99%
герой	персона	персоны	True	97.60%
герой	посёлок	посёлка	False	99.99%
герой	рыцарь	рыцаря	False	81.27%
герой	художественные_средства	художественных_средств	False	78.45%
герой	че­ловек	че­ловека	True	99.99%
герой	человек, —	человек, —	True	99.99%
герой	человек —	человек —	True	99.92%
герой	человек	человека	True	99.99%
герой	человеческая_личность	человеческой_личности	True	99.21%
глава	авторитетному_человеку	авторитетного_человека	True	98.96%
глава	бумага	бумаги	False	99.93%
глава	валюта	валюты	False	76.53%
глава	верх	верха	False	88.28%
глава	вождями	вождей	False	88.28%
глава	денежная_единица	денежной_единицы	True	98.07%
глава	еще	еще	False	99.82%
глава	жанр	жанра	True	82.53%
глава	заместитель	заместителя	False	98.45%
глава	купол	купола	True	77.60%
глава	личность	личности	False	97.23%
глава	личностный	личностного	False	97.23%
глава	люди	людей	True	99.38%
глава	материал	материала	False	99.89%
глава	недвижимое_имущество	недвижимого_имущества	False	99.99%
глава	образованнейшего_человека	образованнейшего_человека	False	99.93%
глава	основные_постановления	основных_постановлений	True	65.80%
глава	подраздел	подраздела	True	70.16%
глава	пустячных_ограничениях	пустячных_ограничений	False	99.99%
глава	раздел_текста	раздела_текста	True	99.14%
глава	руководитель	руководителя	True	99.99%
глава	состав	состава	False	82.03%
глава	сотрудник	сотрудника	False	98.79%
глава	сторона	стороны	False	99.42%
глава	текст	текста	True	99.40%
глава	только	только	False	99.99%
глава	точка	точки	False	64.46%
глава	фигура	фигуры	False	99.93%
глава	фрагмент	фрагмента	False	75.43%
глава	чело­век	чело­века	False	69.61%
глава	человек, —	человек, —	True	99.99%
глава	человек —	человек —	True	79.53%
глава	человек	человека	True	99.02%
глава	элемент{	элемент{	False	95.69%
глаз	вытянутой_шеи	вытянутой_шей	False	99.99%
глаз	деформации,	деформаций,	False	99.97%
глаз	деятельность	деятельности	False	99.99%
глаз	зрачок	зрачка	False	99.37%
глаз	колдовство	колдовства	False	99.96%
глаз	ксива	ксивы	False	99.99%
глаз	лампочка	лампочки	False	99.99%
глаз	лампа	лампы	False	99.99%
глаз	мелочь	мелочи	False	99.99%
глаз	надзор	надзора	False	83.37%
глаз	органов_чувств, органы_чувств	органов_чувств	True	99.99%
глаз	рабдомер	рабдомера	False	99.99%
глаз	рефлекс	рефлекса	False	99.99%
глаз	сложного_органа	сложного_органа	True	99.99%
глаз	способность	способности	False	99.84%
год	английских_туристов	английских_туристов	False	99.96%
год	армия	армии	False	99.96%
год	армий	армий	False	99.99%
год	возраст	возраста	True	99.99%
год	время_года	времени_годов	False	99.99%
год	единица_измерения	единицы_измерений	True	99.99%
