INPUT:hyponym	INPUT:hypernym	INPUT:genitive	OUTPUT:judgement	CONFIDENCE:judgement
врач	стимуляцию, –	стимуляцию, –	false	99.97%
врач	фельдшер	фельдшера	false	98.53%
время	арлесхайма	арлесхайма	false	99.99%
время	атмосфера	атмосферы	false	99.99%
время	воеходит	воеходящего	false	99.82%
время	диссимметрия —	диссимметрия —	false	99.99%
время	длительность	длительности	true	99.99%
время	искусного_мага	искусного_мага	false	99.53%
время	качество	качества	false	99.49%
время	климат	климата	false	99.99%
время	кремации[	кремации[	false	99.99%
время	мелочи	мелочей	false	99.97%
время	мелочь	мелочи	false	99.99%
время	мера	меры	true	99.45%
время	момент	момента	false	78.15%
время	обраща­ют	обраща­юта	false	99.95%
время	обстоятельства_совершения_преступления	обстоятельств_совершений_преступлений	true	99.99%
время	обстоятельство	обстоятельства	true	99.99%
время	отрезок	отрезка	true	98.93%
время	период	периода	true	50.50%
время	пора	поры	false	67.60%
время	признак	признака	true	75.56%
время	промежуток	промежутка	true	50.50%
время	расы_были	рас_былей	false	99.99%
время	роскоши	роскошей	false	99.93%
время	роскошь	роскоши	false	99.97%
время	свойство	свойства	false	87.79%
время	существования_материи	существований_материй	false	99.69%
время	условие	условия	false	86.37%
время	финитное	финитноя	false	99.97%
время	характеристика	характеристики	true	72.39%
время	часы	часов	true	85.26%
встреча	высоорганизованных	высоорганизованных	false	99.98%
встреча	выступление	выступления	false	83.05%
встреча	движение	движения	true	99.29%
встреча	действие	действия	true	99.99%
встреча	диалог	диалога	false	99.80%
встреча	дисциплина	дисциплины	false	99.99%
встреча	изменение	изменения	false	99.96%
встреча	испытание	испытания	false	99.87%
встреча	конкуренция	конкуренции	false	99.99%
встреча	конкурировать	конкурирующего	false	99.99%
встреча	мероприятий, мероприятия	мероприятий	true	99.99%
встреча	на_подходе	на_подхода	false	99.44%
встреча	наука	науки	false	99.87%
встреча	общение	общения	true	99.52%
встреча	официальных_мероприятиях	официальных_мероприятий	true	99.99%
встреча	подобных_мероприятиях	подобных_мероприятий	true	99.93%
встреча	празднество	празднества	true	97.75%
встреча	праздник	праздника	true	99.91%
встреча	празднование	празднования	true	99.99%
встреча	предмет	предмета	false	99.97%
встреча	приближение	приближения	true	74.84%
встреча	прием	приёма	true	93.45%
встреча	происшествие	происшествия	true	99.60%
встреча	развлечение	развлечения	true	93.99%
встреча	разговор	разговора	false	62.89%
встреча	собрание	собрания	true	99.99%
встреча	событие	события	true	99.99%
встреча	совещание	совещания	true	99.99%
встреча	соперничать	соперничающего	false	99.99%
встреча	соревнование,_состязание	соревнования,_состязания	true	98.72%
встреча	состязание	состязания	false	78.29%
встреча	столкновение	столкновения	false	93.08%
встреча	элементов_outlook	элементов_outlook	false	99.99%
встреча	ятрогения	ятрогения	false	72.59%
газета	издание	издания	true	99.99%
газета	материал	материала	true	95.80%
газета	периодическая_печатная_продукция	периодической_печатной_продукции	true	99.99%
газета	предприятие	предприятия	false	99.99%
газета	произведение	произведения	false	71.61%
газета	сми	сми	true	99.99%
газета	сочинение	сочинения	false	95.29%
газета	средство_массовой_информации	средства_массовой_информаций	true	99.99%
герой	божествами_о_гневе_небес	божеств_о_гнева_небес	false	99.82%
герой	воин	воина	true	87.34%
герой	выражение	выражения	false	99.95%
герой	имя	имени	false	99.99%
герой	культурных_растений	культурных_растений	false	99.99%
герой	лицо	лица	false	86.65%
герой	личность	личности	true	99.99%
герой	людей, люди	людей	true	99.99%
герой	мелочью	мелочи	false	99.95%
герой	мужчина	мужчины	true	99.99%
герой	образ	образа	true	99.99%
герой	образец	образца	true	84.61%
герой	особа	особы	true	98.11%
герой	персонаж	персонажа	true	99.99%
герой	персона	персоны	true	97.60%
герой	посёлок	посёлка	false	99.99%
герой	рыцарь	рыцаря	false	81.27%
герой	художественные_средства	художественных_средств	false	78.45%
герой	че­ловек	че­ловека	true	99.99%
герой	человек, —	человек, —	true	99.99%
герой	человек —	человек —	true	99.92%
герой	человек	человека	true	99.99%
герой	человеческая_личность	человеческой_личности	true	99.21%
глава	авторитетному_человеку	авторитетного_человека	true	98.96%
глава	бумага	бумаги	false	99.93%
глава	валюта	валюты	false	76.53%
глава	верх	верха	false	88.28%
глава	вождями	вождей	false	88.28%
глава	денежная_единица	денежной_единицы	true	98.07%
глава	еще	еще	false	99.82%
глава	жанр	жанра	true	82.53%
глава	заместитель	заместителя	false	98.45%
глава	купол	купола	true	77.60%
глава	личность	личности	false	97.23%
глава	личностный	личностного	false	97.23%
глава	люди	людей	true	99.38%
глава	материал	материала	false	99.89%
глава	недвижимое_имущество	недвижимого_имущества	false	99.99%
глава	образованнейшего_человека	образованнейшего_человека	false	99.93%
глава	основные_постановления	основных_постановлений	true	65.80%
глава	подраздел	подраздела	true	70.16%
глава	пустячных_ограничениях	пустячных_ограничений	false	99.99%
глава	раздел_текста	раздела_текста	true	99.14%
глава	руководитель	руководителя	true	99.99%
глава	состав	состава	false	82.03%
глава	сотрудник	сотрудника	false	98.79%
глава	сторона	стороны	false	99.42%
глава	текст	текста	true	99.40%
глава	только	только	false	99.99%
глава	точка	точки	false	64.46%
глава	фигура	фигуры	false	99.93%
глава	фрагмент	фрагмента	false	75.43%
глава	чело­век	чело­века	false	69.61%
глава	человек, —	человек, —	true	99.99%
глава	человек —	человек —	true	79.53%
глава	человек	человека	true	99.02%
глава	элемент{	элемент{	false	95.69%
глаз	вытянутой_шеи	вытянутой_шей	false	99.99%
глаз	деформации,	деформаций,	false	99.97%
глаз	деятельность	деятельности	false	99.99%
глаз	зрачок	зрачка	false	99.37%
глаз	колдовство	колдовства	false	99.96%
глаз	ксива	ксивы	false	99.99%
глаз	лампочка	лампочки	false	99.99%
глаз	лампа	лампы	false	99.99%
глаз	мелочь	мелочи	false	99.99%
глаз	надзор	надзора	false	83.37%
глаз	органов_чувств, органы_чувств	органов_чувств	true	99.99%
глаз	рабдомер	рабдомера	false	99.99%
глаз	рефлекс	рефлекса	false	99.99%
глаз	сложного_органа	сложного_органа	true	99.99%
глаз	способность	способности	false	99.84%
год	английских_туристов	английских_туристов	false	99.96%
